cislo,spol,ico,sektor,nace,druh,zeme,inv_eur,inv_usd,inv_czk,nova_mista,pod_dane,pob_mista,pob_rekv,pob_pozem,pob_kap,mira_podpory,strop,okres,kraj,region_nuts,podani,rozh_den,rozh_mesic,rozh_rok,msp,zruseno
377,Baumann Springs s.r.o.,27424481,strojírenský,,výroba,Švýcarsko,4.45859872611465,5.273016002280223,129.5,74.0,T,J,R,,,0.5,62.75,Karviná,Moravskoslezský,,2006,,prosinec,2006,False,False
378,"IPS Alpha Technology Europe, s.r.o.",27568300,elektronický a elektrotechnický,,výroba,Japonsko,101.846100877948,120.44952970397817,2958.12,2100.0,T,J,R,,,0.49,983.6,Louny,Ústecký,,2006,,prosinec,2006,False,False
379,CROMODORA WHEELS s.r.o.,27779017,výroba dopravních prostředků,,výroba,Itálie,28.920640385608536,34.203347041817665,840,300.0,T,J,R,,,0.5,420.0,Nový Jičín,Moravskoslezský,,2006,,prosinec,2006,False,False
380,"Hill´s Pet Nutrition Manufacturing, s.r.o.",27580792,potravinářský,,výroba,USA,87.41607849888103,103.38368826092267,2539,123.0,T,,R,L,,0.48,948.72,Břeclav,Jihomoravský,,2006,,prosinec,2006,False,False
381,UMDASCH Shop - Concept spol. s r.o.,26020971,ostatní,,výroba,Rakousko,6.9891547598553965,8.265808868439269,203,157.0,T,,,,,0.46,91.08,České Budějovice,Jihočeský,,2006,,prosinec,2006,False,True
382,Ringier Print Praha a.s.,43875548,ostatní,,výroba,Česká republika,26.20072301600964,30.986603689075288,761,144.0,T,J,R,,,0.5,380.5,Ostrava-město,Moravskoslezský,,2006,,prosinec,2006,False,False
383,BOHEMIA PRINT a.s.,25100467,ostatní,,výroba,Česká republika,7.7569289034257185,9.173826295858952,225.3,5.0,T,J,,,,0.64,114.19,Teplice,Ústecký,,2006,,prosinec,2006,True,False
384,"Agroetanol TTD, a.s.",27198251,chemický a farmaceutický,,výroba,Česká republika,30.676536409020482,36.27997882649945,891,42.0,T,,,,,0.5,445.5,Mladá Boleslav,Středočeský,,2006,,prosinec,2006,False,True
385,CHRIST CAR WASH s.r.o.,25201581,strojírenský,,výroba,Německo,8.813909450852126,10.42387719369681,256,47.0,T,,,,,0.46,117.76,Plzeň-město,Plzeňský,,2006,,prosinec,2006,False,False
386,"Faurecia Components Písek, s.r.o.",26105314,výroba dopravních prostředků,,výroba,Francie,52.512997073506625,62.1051345738833,1525.24,670.0,T,,,,,0.46,650.54,Písek,Jihočeský,,2006,,prosinec,2006,False,False
387,AISIN AI CZECH s.r.o.,27438643,výroba dopravních prostředků,,výroba,Japonsko,63.69530039593733,75.33002158068325,1850.03,305.0,T,,R,,,0.48,758.44,Brno-venkov,Jihomoravský,,2006,,prosinec,2006,False,True
388,Vinterio s.r.o.,49615823,ostatní,,výroba,Německo,16.74505078326734,19.80373793721243,486.36,150.0,T,,,,,0.5,225.98,Mělník,Středočeský,,2006,,prosinec,2006,False,False
389,"WALMARK, a.s.",536016,chemický a farmaceutický,,výroba,Česká republika,25.85987261146497,30.583492813225295,751.1,65.0,T,J,R,,,0.5,372.8,Frýdek-Místek,Moravskoslezský,,2006,,prosinec,2006,False,False
390,Engel strojírenská spol. s r.o,62497219,strojírenský,,výroba,Rakousko,17.774143570321915,21.020807036117105,516.25,170.0,T,,R,,,0.46,234.67,Český Krumlov,Jihočeský,,2006,,prosinec,2006,False,False
391,Lucas Varity s.r.o.,25402081,výroba dopravních prostředků,,výroba,Německo,68.13565157514202,80.5814568997109,1979,270.0,T,,,,,0.48,780.23,Jablonec nad Nisou,Liberecký,,2006,,prosinec,2006,False,False
392,Ros Czech s.r.o.,27405541,gumárenský a plastikářský,,výroba,Německo,5.976588053021174,7.068284539272772,173.59,43.0,T,J,R,,,0.49,81.85,Most,Ústecký,,2006,,prosinec,2006,False,False
393,"AKT plastikářská technologie Čechy, spol. s r.o.",25233009,gumárenský a plastikářský,,výroba,Německo,7.546565673954208,8.925037664400016,219.19,80.0,T,,,,,0.48,100.16,Jablonec nad Nisou,Liberecký,,2006,,prosinec,2006,False,False
394,"Wienerberger cihelna Brozany, spol. s r.o.",26109760,ostatní,,výroba,Nizozemí,29.735221472089577,40.157890055150325,902.91,60.0,T,J,,,,0.49,428.31,Litoměřice,Ústecký,,2005,,prosinec,2006,False,False
395,"Czech LANA, s.r.o.",27479803,ostatní,,výroba,Španělsko,11.91042318458752,16.085216153709304,361.66,43.0,T,,,,,0.63,230.72,Havlíčkův Brod,Vysočina,,2005,,prosinec,2006,False,False
396,Flexfill s.r.o.,27249026,chemický a farmaceutický,,výroba,USA,11.158241396344476,15.069382672122396,338.82,77.0,T,J,R,,,0.49,147.13,Litoměřice,Ústecký,,2005,,prosinec,2006,False,False
397,STARCAM s.r.o.,27289729,výroba dopravních prostředků,,výroba,Německo,15.13288325374609,20.437199786514853,459.51,104.0,T,J,R,,,0.49,225.16,Most,Ústecký,,2005,,prosinec,2006,False,False
398,NORTH VIDEO s.r.o.,44568843,ostatní,,výroba,Česká republika,6.685328503210934,9.028642590286426,203,52.0,T,J,R,,,0.64,129.92,Ústí nad Labem,Ústecký,,2005,,prosinec,2006,False,False
399,"ITAB Shop Concept CZ, a.s.",25568663,ostatní,,výroba,Švédsko,9.71513255392722,13.120441202632982,295,100.0,T,,,,,0.4,115.28,Blansko,Jihomoravský,,2005,,únor,2007,False,False
400,"Meopta - optika, a.s.",47677023,strojírenský,,výroba,Česká republika,19.166121535548285,22.667046703856016,556.68,220.0,T,,,,,0.4,222.67,Přerov,Olomoucký,,2006,,březen,2007,False,False
401,Quaprotek Manufacturing k.s.,27709361,strojírenský,,výroba,Německo,8.687209502496126,10.27403395903742,252.32,100.0,T,,,,,0.5,125.89,Břeclav,Jihomoravský,,2006,,březen,2007,True,False
402,"LE & CO - Ing. Jiří Lenc, s.r.o.",26502658,potravinářský,,výroba,Česká republika,13.107247374763297,15.501445498595219,380.7,29.0,T,,,,,0.5,189.6,Praha-východ,Středočeský,,2006,,duben,2007,True,False
403,Pekárna Hruška spol. s r.o.,27772292,potravinářský,,výroba,Česká republika,10.309519710793596,12.192678855002239,299.44,98.0,T,J,,,,0.4,117.656,Ostrava-město,Moravskoslezský,,2006,,duben,2007,False,False
404,"IMG Bohemia, s.r.o.",49824732,gumárenský a plastikářský,,výroba,Česká republika,5.164400068858667,6.107740543181725,150,16.0,T,J,R,,,0.5,75.0,Hodonín,Jihomoravský,,2006,,duben,2007,True,False
405,"BIOLÍH Kolín, a.s.",27404161,chemický a farmaceutický,,výroba,Česká republika,69.03150284042003,81.64094629260148,2005.02,80.0,T,,,,,0.6,1029.46,Kolín,Středočeský,,2006,,květen,2007,True,True
406,MITAS a.s.,12190,gumárenský a plastikářský,,výroba,Česká republika,11.58547082113961,13.701697951871004,336.5,30.0,T,,,,,0.4,132.2,Zlín,Zlínský,,2006,,květen,2007,False,False
407,Recyde Ždánice s.r.o.,27678130,strojírenský,,výroba,Španělsko,9.145808228610775,10.816401319271955,265.64,38.0,T,J,R,,,0.4,102.98,Hodonín,Jihomoravský,,2006,,květen,2007,False,False
408,ŽDB Group a.s.,26877091,ostatní,,výroba,Nizozemí,33.052160440695474,39.08953947636304,960,100.0,T,J,,,,0.4,280.4,Karviná,Moravskoslezský,,2006,,květen,2007,False,False
409,"ROCKWOOL, a.s.",26165261,ostatní,,výroba,Dánsko,15.252194870029264,18.03819373753003,443,14.0,T,J,R,,,0.4,177.2,Karviná,Moravskoslezský,,2006,,květen,2007,False,False
410,Aisin Europe Manufacturing Czech s.r.o.,26052377,výroba dopravních prostředků,,výroba,Belgie,27.027027027027025,31.963842175984365,785,169.0,T,,,,,0.36,220.39,Písek,Jihočeský,,2006,,květen,2007,False,False
411,PROFROST a.s.,27771245,potravinářský,,výroba,Česká republika,9.463246686176623,11.191823771326193,274.86,65.0,T,,,,,0.4,109.94,Prostějov,Olomoucký,,2006,,květen,2007,False,False
412,"Bosch Rexroth, spol. s r.o.",547425,elektronický a elektrotechnický,,výroba,Německo,9.468066792907557,11.197524329166496,275,70.0,T,,R,,,0.4,103.888,Brno-město,Jihomoravský,,2006,,květen,2007,False,False
413,"Pramet Tools, s.r.o.",25782983,strojírenský,,výroba,Švédsko,21.139610948528144,25.001017956757195,614,272.0,T,,,,,0.4,245.6,Šumperk,Olomoucký,,2006,,květen,2007,False,False
414,"Etagra, s.r.o.",27637646,chemický a farmaceutický,,výroba,Česká republika,51.67843002237906,61.11812370210513,1501,70.0,T,,R,,,0.4,577.8,Kutná Hora,Středočeský,,2006,,květen,2007,False,False
415,"Šroubárna Kyjov, spol. s r.o.",42293588,kovodělný a kovozpracující,,výroba,Česká republika,7.144086761921156,8.44904108473472,207.5,15.0,T,,,,,0.4,77.4,Hodonín,Jihomoravský,,2006,,květen,2007,False,False
416,SHANGHAI MALING (CZECH) a.s.,27419762,potravinářský,,výroba,Čína,8.090893441211913,9.56879351765137,235,200.0,T,J,R,,,0.4,86.4,Teplice,Ústecký,,2006,,červen,2007,False,False
417,Schlote-Automotive Czech s.r.o.,27088219,kovodělný a kovozpracující,,výroba,Německo,9.91289378550525,11.723604381285883,287.92,40.0,T,,,,,0.5,135.98,Uherské Hradiště,Zlínský,,2006,,červen,2007,True,False
418,PWO UNITOOLS CZ a.s.,25387146,strojírenský,,výroba,Německo,16.738853503184714,19.796408648560607,486.18,52.0,T,J,R,,,0.4,188.96,Vsetín,Zlínský,,2006,,červen,2007,False,False
419,"ALPS Electric Czech, s.r.o.",63484021,výroba dopravních prostředků,,výroba,Japonsko,9.674642795661903,11.441833950893766,281,200.0,T,,,,,0.4,82.88,Blansko,Jihomoravský,,2006,,červen,2007,False,False
420,Westvaco Svitavy s.r.o.,60932538,ostatní,,výroba,Španělsko,24.84283009123773,29.38067510892137,721.56,102.0,T,,,,,0.4,284.62,Svitavy,Pardubický,,2006,,červen,2007,False,True
421,Mayweg CZ spol. s r.o.,26104296,strojírenský,,výroba,Německo,3.6994319159924256,4.375178142432509,107.45,53.0,T,J,R,,,0.5,53.73,Teplice,Ústecký,,2006,,červen,2007,True,False
422,Frantschach Pulp & Paper Czech a.s.,26161516,papírenský,,výroba,Nizozemí,53.37717335169564,63.127163158109035,1550.34,6.0,T,J,R,,,0.4,592.2,Litoměřice,Ústecký,,2006,,červen,2007,False,False
423,"Bekaert Petrovice, s.r.o.",25398075,kovodělný a kovozpracující,,výroba,Česká republika,3.470476846273024,4.104401645018119,100.8,11.0,T,,,,,0.4,40.32,Karviná,Moravskoslezský,,2006,,červen,2007,False,False
424,Catalytic Solutions Czechia s.r.o.,27315924,výroba dopravních prostředků,,výroba,USA,7.76415906352212,9.182377132619406,225.51,86.0,T,J,R,,,0.5,112.76,Chomutov,Ústecký,,2006,,červen,2007,True,False
425,Mubea IT Spring Wire s.r.o.,26954664,výroba dopravních prostředků,,výroba,Německo,34.1017618969208,46.054972424835434,1035.5,136.0,T,,R,,,0.4,416.35,"Prostějov, Olomouc",Olomoucký,,2005,,červen,2007,False,False
426,JUTA a.s.,45534187,gumárenský a plastikářský,,výroba,Česká republika,95.79622230294224,127.12798264642082,2637.27,388.0,T,,,,,0.3,602.33,"Trutnov, Olomouc",Olomoucký,,2007,,červen,2007,False,False
427,Personna Inernational CZ s.r.o.,27892131,gumárenský a plastikářský,,výroba,USA,9.881218798416251,11.686143572621035,287,391.0,T,J,R,,,0.4,114.8,Teplice,Ústecký,,2006,,červen ,2007,False,False
428,"PREOL, a.s.",26311208,chemický a farmaceutický,,výroba,Česká republika,68.28913912095895,90.62424680645938,1880,72.0,T,J,R,,,0.4,611.68,Litoměřice,Ústecký,,2007,,červenec,2007,False,False
429,"Pekárna Zelená louka, a.s.",41035895,potravinářský,,výroba,Česká republika,16.173179548975725,19.12740746773077,469.75,116.0,T,,,,,0.4,187.9,Praha-východ,Středočeský,,2006,,červenec,2007,False,False
430,"KORADO, a.s.",25255843,strojírenský,,výroba,Česká republika,29.059208136578278,38.563509279344416,800,125.0,T,,,,,0.3,237.0,Ústí nad Orlicí,Pardubický,,2007,,červenec,2007,False,False
431,"Banta Global Turnkey, s.r.o.",27655784,elektronický a elektrotechnický,,výroba,USA,14.029422448238286,18.617980236201493,386.23,300.0,T,,R,,,0.4,147.76,Brno-město,Jihomoravský,,2007,,červenec,2007,False,False
432,Lonza Biotec s.r.o.,45245126,chemický a farmaceutický,,výroba,Nizozemí,31.468411086245478,37.21649904312065,914,15.0,T,,,,,0.4,365.6,Kolín,Středočeský,,2006,,srpen,2007,False,False
433,"REHAU, s.r.o.",45799261,gumárenský a plastikářský,,výroba,Německo,10.923739025649851,12.919092796937985,317.28,128.0,T,J,R,,,0.4,126.91,Svitavy,Pardubický,,2006,,srpen,2007,False,False
